ID;Timestamp;Orientation;X;Y;Z
284;2025-11-14 10:11:59;2;1315;1408;1741
285;2025-11-14 10:11:59;2;1315;1406;1750
282;2025-11-14 10:11:58;2;1316;1408;1749
283;2025-11-14 10:11:58;2;1318;1414;1748
280;2025-11-14 10:11:57;2;1309;1407;1742
281;2025-11-14 10:11:57;2;1313;1405;1746
278;2025-11-14 10:11:56;2;1318;1408;1749
279;2025-11-14 10:11:56;2;1316;1406;1747
277;2025-11-14 10:11:55;2;1318;1408;1740
274;2025-11-14 10:11:54;2;1321;1408;1746
276;2025-11-14 10:11:54;2;1314;1403;1750
275;2025-11-14 10:11:54;2;1316;1409;1749
273;2025-11-14 10:11:53;2;1321;1406;1744
270;2025-11-14 10:11:52;2;1317;1405;1749
272;2025-11-14 10:11:52;2;1314;1409;1747
271;2025-11-14 10:11:52;2;1318;1406;1743
269;2025-11-14 10:11:51;2;1313;1407;1746
266;2025-11-14 10:11:50;2;1314;1407;1749
268;2025-11-14 10:11:50;2;1324;1413;1752
267;2025-11-14 10:11:50;2;1316;1405;1747
265;2025-11-14 10:11:49;2;1315;1404;1757
262;2025-11-14 10:11:48;2;1317;1403;1748
264;2025-11-14 10:11:48;2;1313;1404;1743
263;2025-11-14 10:11:48;2;1316;1403;1749
261;2025-11-14 10:11:47;2;1306;1405;1757
258;2025-11-14 10:11:46;2;1315;1414;1745
259;2025-11-14 10:11:46;2;1313;1410;1744
260;2025-11-14 10:11:46;2;1314;1404;1752
257;2025-11-14 10:11:45;2;1310;1410;1746
254;2025-11-14 10:11:44;2;1238;1475;1747
255;2025-11-14 10:11:44;2;1300;1415;1751
256;2025-11-14 10:11:44;2;1316;1414;1750
253;2025-11-14 10:11:43;2;1324;1434;1744
251;2025-11-14 10:11:42;1;1333;1448;1752
252;2025-11-14 10:11:42;1;1314;1459;1771
250;2025-11-14 10:11:41;0;1305;1415;1757
249;2025-11-14 10:11:41;5;1316;1419;1751
248;2025-11-14 10:11:40;5;1308;1416;1742
247;2025-11-14 10:11:40;5;1306;1409;1743
246;2025-11-14 10:11:39;5;1317;1407;1744
245;2025-11-14 10:11:39;5;1316;1405;1745
243;2025-11-14 10:11:38;5;1306;1409;1745
244;2025-11-14 10:11:38;5;1321;1409;1746
242;2025-11-14 10:11:37;5;1314;1409;1739
241;2025-11-14 10:11:37;5;1299;1406;1737
239;2025-11-14 10:11:36;5;1306;1414;1743
240;2025-11-14 10:11:36;5;1321;1395;1744
238;2025-11-14 10:11:35;5;1306;1408;1739
237;2025-11-14 10:11:35;5;1306;1421;1742
235;2025-11-14 10:11:34;4;1300;1423;1738
236;2025-11-14 10:11:34;5;1321;1411;1740
233;2025-11-14 10:11:33;4;1320;1410;1748
234;2025-11-14 10:11:33;4;1306;1421;1745
232;2025-11-14 10:11:32;3;1306;1393;1736
231;2025-11-14 10:11:32;2;1351;1413;1734
230;2025-11-14 10:11:31;2;1321;1409;1748
229;2025-11-14 10:11:31;2;1289;1436;1749
227;2025-11-14 10:11:30;1;1316;1407;1745
228;2025-11-14 10:11:30;1;1318;1405;1743
226;2025-11-14 10:11:29;0;1321;1406;1743
224;2025-11-14 10:10:51;0;1318;1415;1748
225;2025-11-14 10:10:51;0;1313;1412;1752
222;2025-11-14 10:10:50;0;1321;1416;1746
223;2025-11-14 10:10:50;0;1316;1409;1749
220;2025-11-14 10:10:49;0;1317;1415;1752
221;2025-11-14 10:10:49;0;1321;1413;1752
218;2025-11-14 10:10:48;0;1319;1414;1750
219;2025-11-14 10:10:48;0;1320;1414;1742
216;2025-11-14 10:10:47;0;1315;1412;1747
217;2025-11-14 10:10:47;0;1322;1415;1748
214;2025-11-14 10:10:46;0;1317;1414;1745
215;2025-11-14 10:10:46;0;1321;1405;1750
212;2025-11-14 10:10:45;0;1317;1410;1747
213;2025-11-14 10:10:45;0;1313;1410;1749
210;2025-11-14 10:10:44;0;1320;1415;1749
211;2025-11-14 10:10:44;0;1321;1410;1750
208;2025-11-14 10:10:43;0;1318;1417;1749
209;2025-11-14 10:10:43;0;1316;1417;1752
206;2025-11-14 10:10:42;0;1321;1412;1749
207;2025-11-14 10:10:42;0;1314;1407;1742
204;2025-11-14 10:10:41;0;1320;1405;1748
205;2025-11-14 10:10:41;0;1313;1413;1750
202;2025-11-14 10:10:40;0;1323;1416;1751
203;2025-11-14 10:10:40;0;1316;1411;1754
200;2025-11-14 10:10:39;0;1320;1405;1751
201;2025-11-14 10:10:39;0;1318;1410;1753
198;2025-11-14 10:10:38;0;1319;1413;1746
199;2025-11-14 10:10:38;0;1320;1408;1750
196;2025-11-14 10:10:37;0;1318;1413;1746
197;2025-11-14 10:10:37;0;1319;1415;1754
194;2025-11-14 10:10:36;0;1323;1413;1757
195;2025-11-14 10:10:36;0;1313;1412;1744
192;2025-11-14 10:10:35;0;1321;1413;1756
193;2025-11-14 10:10:35;0;1318;1415;1747
190;2025-11-14 10:10:34;0;1317;1412;1750
191;2025-11-14 10:10:34;0;1313;1411;1749
188;2025-11-14 10:10:33;0;1319;1415;1749
189;2025-11-14 10:10:33;0;1321;1412;1754
186;2025-11-14 10:10:32;0;1315;1412;1749
187;2025-11-14 10:10:32;0;1321;1414;1749
